# Gene Family	dlab_reads_ALL_Abundance-CPM	mcav_reads_ALL_Abundance-CPM	ofav_reads_ALL_Abundance-CPM	pstr_reads_ALL_Abundance-CPM
ADCLY-RXN: (expasy) Aminodeoxychorismate lyase [4.1.3.38]	0.0715084	0.0	0.0	0.0
ADCLY-RXN: (expasy) Aminodeoxychorismate lyase [4.1.3.38]|g__Prochlorococcus.s__Prochlorococcus_marinus	0.0715084	0.0	0.0	0.0
ADDALT-RXN: (expasy) Adenosine deaminase [3.5.4.4]	0.08793089999999999	1.951251	0.0	0.0
ADDALT-RXN: (expasy) Adenosine deaminase [3.5.4.4]|g__Cutibacterium.s__Cutibacterium_acnes	0.0430042	0.0	0.0	0.0
ADDALT-RXN: (expasy) Adenosine deaminase [3.5.4.4]|unclassified	0.0449267	1.951251	0.0	0.0
ADENINE-DEAMINASE-RXN: (expasy) Adenine deaminase [3.5.4.2]	0.0549172	0.2064973	0.0	0.0
ADENINE-DEAMINASE-RXN: (expasy) Adenine deaminase [3.5.4.2]|g__Alteromonas.s__Alteromonas_macleodii	0.0	0.0981053	0.0	0.0
ADENINE-DEAMINASE-RXN: (expasy) Adenine deaminase [3.5.4.2]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0549172	0.0	0.0	0.0
ADENINE-DEAMINASE-RXN: (expasy) Adenine deaminase [3.5.4.2]|unclassified	0.0	0.108392	0.0	0.0
ADENODEAMIN-RXN: (expasy) Adenosine deaminase [3.5.4.4]	0.08793089999999999	1.951251	0.0	0.0
ADENODEAMIN-RXN: (expasy) Adenosine deaminase [3.5.4.4]|g__Cutibacterium.s__Cutibacterium_acnes	0.0430042	0.0	0.0	0.0
ADENODEAMIN-RXN: (expasy) Adenosine deaminase [3.5.4.4]|unclassified	0.0449267	1.951251	0.0	0.0
ADENOSYLHOMOCYSTEINASE-RXN: (expasy) Adenosylhomocysteinase [3.3.1.1]	4.888524300000001	4.705369599999999	0.0	0.9583963999999999
ADENOSYLHOMOCYSTEINASE-RXN: (expasy) Adenosylhomocysteinase [3.3.1.1]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.143276	0.0	0.0	0.276485
ADENOSYLHOMOCYSTEINASE-RXN: (expasy) Adenosylhomocysteinase [3.3.1.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0421786	0.0	0.0	0.0
ADENOSYLHOMOCYSTEINASE-RXN: (expasy) Adenosylhomocysteinase [3.3.1.1]|unclassified	4.703069700000001	4.705369599999999	0.0	0.6819114
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN: (expasy) Adenosylhomocysteine nucleosidase [3.2.2.9]	0.068644	0.0	0.0	0.0
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN: (expasy) Adenosylhomocysteine nucleosidase [3.2.2.9]|g__Alteromonas.s__Alteromonas_macleodii	0.0487851	0.0	0.0	0.0
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN: (expasy) Adenosylhomocysteine nucleosidase [3.2.2.9]|g__Bacillus.s__Bacillus_hisashii	0.0198589	0.0	0.0	0.0
ADENPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]	0.2365595	0.701003	0.0	0.0
ADENPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]|g__Alteromonas.s__Alteromonas_macleodii	0.0797292	0.401928	0.0	0.0
ADENPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0556595	0.0	0.0	0.0
ADENPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1]|unclassified	0.1011708	0.299075	0.0	0.0
ADENPRIBOSYLTRAN-RXN: (expasy) Adenine phosphoribosyltransferase [2.4.2.7]	0.6812737999999999	2.4779219	0.0929962	0.4664853
ADENPRIBOSYLTRAN-RXN: (expasy) Adenine phosphoribosyltransferase [2.4.2.7]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0	0.0	0.0	0.0245431
ADENPRIBOSYLTRAN-RXN: (expasy) Adenine phosphoribosyltransferase [2.4.2.7]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.177485	0.0	0.0929962	0.245309
ADENPRIBOSYLTRAN-RXN: (expasy) Adenine phosphoribosyltransferase [2.4.2.7]|g__Cutibacterium.s__Cutibacterium_acnes	0.0280453	0.0	0.0	0.0
ADENPRIBOSYLTRAN-RXN: (expasy) Adenine phosphoribosyltransferase [2.4.2.7]|g__Erythrobacter.s__Erythrobacter_flavus	0.0	0.110435	0.0	0.0
ADENPRIBOSYLTRAN-RXN: (expasy) Adenine phosphoribosyltransferase [2.4.2.7]|g__Erythrobacter.s__Erythrobacter_sp_SAORIC_644	0.0	0.110437	0.0	0.0
ADENPRIBOSYLTRAN-RXN: (expasy) Adenine phosphoribosyltransferase [2.4.2.7]|g__Ruegeria.s__Ruegeria_sp_ANG_S4	0.0138073	0.0	0.0	0.0
ADENPRIBOSYLTRAN-RXN: (expasy) Adenine phosphoribosyltransferase [2.4.2.7]|unclassified	0.4619362	2.2570498999999997	0.0	0.19663329999999998
ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]	0.4639723	0.9362051000000001	0.1077505	0.0780781
ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]|g__Alteromonas.s__Alteromonas_macleodii	0.0	0.0567171	0.0	0.0
ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0	0.0	0.0	0.0780781
ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0657454	0.0	0.0	0.0
ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]|g__Paracoccus.s__Paracoccus_sp	0.0	0.0563211	0.0	0.0
ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]|g__Prochlorococcus.s__Prochlorococcus_marinus	0.0	0.140552	0.0	0.0
ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0610084	0.0	0.0	0.0
ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]|unclassified	0.3372185	0.6826149000000001	0.1077505	0.0
ADENYLATECYC-RXN: (expasy) Adenylate cyclase [4.6.1.1]	0.1208283	0.0	0.0	0.0
ADENYLATECYC-RXN: (expasy) Adenylate cyclase [4.6.1.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0957507	0.0	0.0	0.0
ADENYLATECYC-RXN: (expasy) Adenylate cyclase [4.6.1.1]|unclassified	0.0250776	0.0	0.0	0.0
ADENYLOSUCCINATE-SYNTHASE-RXN: (expasy) Adenylosuccinate synthase [6.3.4.4]	2.3521584700000004	5.8243678	0.0	0.438793
ADENYLOSUCCINATE-SYNTHASE-RXN: (expasy) Adenylosuccinate synthase [6.3.4.4]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0372344	0.0	0.0	0.0335152
ADENYLOSUCCINATE-SYNTHASE-RXN: (expasy) Adenylosuccinate synthase [6.3.4.4]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.065589	0.0	0.0	0.0500823
ADENYLOSUCCINATE-SYNTHASE-RXN: (expasy) Adenylosuccinate synthase [6.3.4.4]|g__Erythrobacter.s__Erythrobacter_flavus	0.0	0.0239436	0.0	0.0
ADENYLOSUCCINATE-SYNTHASE-RXN: (expasy) Adenylosuccinate synthase [6.3.4.4]|g__Erythrobacter.s__Erythrobacter_sp_SAORIC_644	0.0	0.0246002	0.0	0.0
ADENYLOSUCCINATE-SYNTHASE-RXN: (expasy) Adenylosuccinate synthase [6.3.4.4]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0706251	0.0	0.0	0.0
ADENYLOSUCCINATE-SYNTHASE-RXN: (expasy) Adenylosuccinate synthase [6.3.4.4]|unclassified	2.1787103700000006	5.775824	0.0	0.3551954
ADENYLYLSULFATE-REDUCTASE-RXN: (expasy) Adenylyl-sulfate reductase [1.8.99.2]	0.08208679999999999	0.0	0.0	0.0
ADENYLYLSULFATE-REDUCTASE-RXN: (expasy) Adenylyl-sulfate reductase [1.8.99.2]|unclassified	0.08208679999999999	0.0	0.0	0.0
ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]	0.82182364	4.4627067	0.0	0.6337446
ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]|g__Alteromonas.s__Alteromonas_macleodii	0.047008	0.218245	0.0	0.0
ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0	0.00785094	0.0	0.00807237
ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.109385	0.0554915	0.0	0.229271
ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0455117	0.0	0.0	0.0
ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]|unclassified	0.6199189399999999	4.1811193	0.0	0.39640159999999997
ADOMET-DMK-METHYLTRANSFER-RXN: (expasy) Demethylmenaquinone methyltransferase [2.1.1.163]	0.7801241099999999	0.3945369	0.0773645	0.247968
ADOMET-DMK-METHYLTRANSFER-RXN: (expasy) Demethylmenaquinone methyltransferase [2.1.1.163]|g__Alteromonas.s__Alteromonas_macleodii	0.049891	0.0	0.0	0.0
ADOMET-DMK-METHYLTRANSFER-RXN: (expasy) Demethylmenaquinone methyltransferase [2.1.1.163]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.00850426	0.0229371	0.0	0.0625101
ADOMET-DMK-METHYLTRANSFER-RXN: (expasy) Demethylmenaquinone methyltransferase [2.1.1.163]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.134785	0.0452795	0.0	0.185457
ADOMET-DMK-METHYLTRANSFER-RXN: (expasy) Demethylmenaquinone methyltransferase [2.1.1.163]|g__Erythrobacter.s__Erythrobacter_sp_SAORIC_644	0.0	0.0964361	0.0	0.0
ADOMET-DMK-METHYLTRANSFER-RXN: (expasy) Demethylmenaquinone methyltransferase [2.1.1.163]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.2076582	0.0	0.0	0.0
ADOMET-DMK-METHYLTRANSFER-RXN: (expasy) Demethylmenaquinone methyltransferase [2.1.1.163]|unclassified	0.3792849099999999	0.22988419999999998	0.0773645	0.0
ADP-RIBOSYLARGININE-HYDROLASE-RXN: (expasy) [Protein ADP-ribosylarginine] hydrolase [3.2.2.19]	0.086299	0.0	0.0	0.0
ADP-RIBOSYLARGININE-HYDROLASE-RXN: (expasy) [Protein ADP-ribosylarginine] hydrolase [3.2.2.19]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.086299	0.0	0.0	0.0
ADPREDUCT-RXN: (metacyc) ADP reductase [1.17.4.1]	3.9982186	5.410032900000001	0.0	0.23230499999999998
ADPREDUCT-RXN: (metacyc) ADP reductase [1.17.4.1]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0131584	0.0	0.0	0.0103647
ADPREDUCT-RXN: (metacyc) ADP reductase [1.17.4.1]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0563695	0.0	0.0	0.0974679
ADPREDUCT-RXN: (metacyc) ADP reductase [1.17.4.1]|g__Cutibacterium.s__Cutibacterium_acnes	0.0257553	0.0	0.0	0.0
ADPREDUCT-RXN: (metacyc) ADP reductase [1.17.4.1]|g__Prochlorococcus.s__Prochlorococcus_marinus	0.0344609	0.0	0.0	0.0
ADPREDUCT-RXN: (metacyc) ADP reductase [1.17.4.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.1825164	0.0	0.0	0.0
ADPREDUCT-RXN: (metacyc) ADP reductase [1.17.4.1]|unclassified	3.6859580999999997	5.410032900000001	0.0	0.124472
AGMATIN-RXN: (expasy) Agmatinase [3.5.3.11]	0.23836590000000002	0.1477192	0.0	0.0
AGMATIN-RXN: (expasy) Agmatinase [3.5.3.11]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0935101	0.0	0.0	0.0
AGMATIN-RXN: (expasy) Agmatinase [3.5.3.11]|unclassified	0.1448558	0.1477192	0.0	0.0
AGMATINE-DEIMINASE-RXN: (expasy) Agmatine deiminase [3.5.3.12]	0.0551291	0.0	0.0	0.0
AGMATINE-DEIMINASE-RXN: (expasy) Agmatine deiminase [3.5.3.12]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0551291	0.0	0.0	0.0
AICARSYN-RXN: (expasy) Adenylosuccinate lyase [4.3.2.2]	1.6990128500000004	3.5100841999999997	0.0	0.3966249
AICARSYN-RXN: (expasy) Adenylosuccinate lyase [4.3.2.2]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0362992	0.0	0.0	0.186891
AICARSYN-RXN: (expasy) Adenylosuccinate lyase [4.3.2.2]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.1833628	0.0	0.0	0.126658
AICARSYN-RXN: (expasy) Adenylosuccinate lyase [4.3.2.2]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0500896	0.0	0.0	0.0
AICARSYN-RXN: (expasy) Adenylosuccinate lyase [4.3.2.2]|unclassified	1.4292604500000003	3.5100841999999997	0.0	0.08307690000000001
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]	0.6121675999999999	2.3254101	0.0	0.7720059
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0354368	0.0	0.0	0.1355
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.124744	0.0	0.0	0.194934
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]|g__Erythrobacter.s__Erythrobacter_flavus	0.0	0.0781388	0.0	0.0
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]|g__Erythrobacter.s__Erythrobacter_sp_SAORIC_644	0.0	0.0483735	0.0	0.0
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]|g__Paracoccus.s__Paracoccus_sp	0.0	0.0584562	0.0	0.0
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]|g__Prochlorococcus.s__Prochlorococcus_marinus	0.0344173	0.0	0.0	0.0
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0621684	0.0	0.0	0.0
AICARTRANSFORM-RXN: (expasy) Phosphoribosylaminoimidazolecarboxamide formyltransferase [2.1.2.3]|unclassified	0.35540089999999996	2.1404416	0.0	0.4415719
AIRCARBOXY-RXN: (expasy) Phosphoribosylaminoimidazole carboxylase [4.1.1.21]	0.0	0.467995	0.0	0.1103516
AIRCARBOXY-RXN: (expasy) Phosphoribosylaminoimidazole carboxylase [4.1.1.21]|unclassified	0.0	0.467995	0.0	0.1103516
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]	0.5006158700000001	2.2377499000000003	0.2302454	0.4971880000000001
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]|g__Alteromonas.s__Alteromonas_macleodii	0.0480177	0.0	0.0	0.0
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0290876	0.0	0.0	0.0774798
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0933857	0.0	0.0	0.190752
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]|g__Erythrobacter.s__Erythrobacter_flavus	0.0	0.160402	0.0	0.0
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]|g__Erythrobacter.s__Erythrobacter_sp_SAORIC_644	0.0	0.0288881	0.0	0.0
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]|g__Prochlorococcus.s__Prochlorococcus_marinus	0.024124	0.0	0.0	0.0
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0572861	0.0	0.0	0.0
AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]|unclassified	0.24871507000000004	2.0484599	0.2302454	0.228956
AKBLIG-RXN: (expasy) Glycine C-acetyltransferase [2.3.1.29]	2.7749612999999997	0.4569693	0.3755157	0.2336713
AKBLIG-RXN: (expasy) Glycine C-acetyltransferase [2.3.1.29]|g__Alteromonas.s__Alteromonas_macleodii	0.0759828	0.0	0.0	0.0
AKBLIG-RXN: (expasy) Glycine C-acetyltransferase [2.3.1.29]|g__Cutibacterium.s__Cutibacterium_acnes	0.0205186	0.0	0.0	0.0
AKBLIG-RXN: (expasy) Glycine C-acetyltransferase [2.3.1.29]|unclassified	2.6784599	0.4569693	0.3755157	0.2336713
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN: (expasy) Alanine--glyoxylate transaminase [2.6.1.44]	0.0	0.1676811	0.0	0.0
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN: (expasy) Alanine--glyoxylate transaminase [2.6.1.44]|g__Alteromonas.s__Alteromonas_macleodii	0.0	0.0749221	0.0	0.0
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN: (expasy) Alanine--glyoxylate transaminase [2.6.1.44]|unclassified	0.0	0.092759	0.0	0.0
ALANINE--TRNA-LIGASE-RXN: (expasy) Alanine--tRNA ligase [6.1.1.7]	0.6279515999999999	2.104798	0.0	0.264
ALANINE--TRNA-LIGASE-RXN: (expasy) Alanine--tRNA ligase [6.1.1.7]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.00844031	0.016581	0.0	0.0508571
ALANINE--TRNA-LIGASE-RXN: (expasy) Alanine--tRNA ligase [6.1.1.7]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0810127	0.0831234	0.0	0.213143
ALANINE--TRNA-LIGASE-RXN: (expasy) Alanine--tRNA ligase [6.1.1.7]|g__Erythrobacter.s__Erythrobacter_flavus	0.0	0.0613801	0.0	0.0
ALANINE--TRNA-LIGASE-RXN: (expasy) Alanine--tRNA ligase [6.1.1.7]|g__Erythrobacter.s__Erythrobacter_sp_SAORIC_644	0.0	0.027912	0.0	0.0
ALANINE--TRNA-LIGASE-RXN: (expasy) Alanine--tRNA ligase [6.1.1.7]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.1169877	0.0	0.0	0.0
ALANINE--TRNA-LIGASE-RXN: (expasy) Alanine--tRNA ligase [6.1.1.7]|unclassified	0.42151079999999996	1.9158016000000002	0.0	0.0
ALANINE-AMINOTRANSFERASE-RXN: (expasy) Alanine transaminase [2.6.1.2]	0.103578	0.1175943	0.0	0.0914871
ALANINE-AMINOTRANSFERASE-RXN: (expasy) Alanine transaminase [2.6.1.2]|unclassified	0.103578	0.1175943	0.0	0.0914871
ALANINE-DEHYDROGENASE-RXN: (expasy) Alanine dehydrogenase [1.4.1.1]	0.9699054999999999	1.6580015000000001	0.0	0.5240872000000001
ALANINE-DEHYDROGENASE-RXN: (expasy) Alanine dehydrogenase [1.4.1.1]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0332491	0.0435875	0.0	0.142585
ALANINE-DEHYDROGENASE-RXN: (expasy) Alanine dehydrogenase [1.4.1.1]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.11043	0.0	0.0	0.111882
ALANINE-DEHYDROGENASE-RXN: (expasy) Alanine dehydrogenase [1.4.1.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0486922	0.0	0.0	0.0
ALANINE-DEHYDROGENASE-RXN: (expasy) Alanine dehydrogenase [1.4.1.1]|unclassified	0.7775342999999999	1.614414	0.0	0.2696192
ALARACECAT-RXN: (expasy) Alanine racemase [5.1.1.1]	0.25152610000000003	0.0	0.0	0.236114
ALARACECAT-RXN: (expasy) Alanine racemase [5.1.1.1]|g__Alteromonas.s__Alteromonas_macleodii	0.040581	0.0	0.0	0.0
ALARACECAT-RXN: (expasy) Alanine racemase [5.1.1.1]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0117218	0.0	0.0	0.0346524
ALARACECAT-RXN: (expasy) Alanine racemase [5.1.1.1]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.063978	0.0	0.0	0.201462
ALARACECAT-RXN: (expasy) Alanine racemase [5.1.1.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0430395	0.0	0.0	0.0
ALARACECAT-RXN: (expasy) Alanine racemase [5.1.1.1]|unclassified	0.0922058	0.0	0.0	0.0
ALCOHOL-DEHYDROG-GENERIC-RXN: (expasy) Alcohol dehydrogenase [1.1.1.1]	1.6434402999999997	1.8585758	0.0	0.3681315
ALCOHOL-DEHYDROG-GENERIC-RXN: (expasy) Alcohol dehydrogenase [1.1.1.1]|g__Bacillus.s__Bacillus_hisashii	0.0266761	0.0	0.0	0.0
ALCOHOL-DEHYDROG-GENERIC-RXN: (expasy) Alcohol dehydrogenase [1.1.1.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.2632162	0.0	0.0	0.0
ALCOHOL-DEHYDROG-GENERIC-RXN: (expasy) Alcohol dehydrogenase [1.1.1.1]|unclassified	1.3535479999999998	1.8585758	0.0	0.3681315
ALCOHOL-DEHYDROG-RXN: (expasy) Alcohol dehydrogenase [1.1.1.1]	1.6434402999999997	1.8585758	0.0	0.3681315
ALCOHOL-DEHYDROG-RXN: (expasy) Alcohol dehydrogenase [1.1.1.1]|g__Bacillus.s__Bacillus_hisashii	0.0266761	0.0	0.0	0.0
ALCOHOL-DEHYDROG-RXN: (expasy) Alcohol dehydrogenase [1.1.1.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.2632162	0.0	0.0	0.0
ALCOHOL-DEHYDROG-RXN: (expasy) Alcohol dehydrogenase [1.1.1.1]|unclassified	1.3535479999999998	1.8585758	0.0	0.3681315
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]	0.08277380000000001	0.0	0.0	0.0
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0528199	0.0	0.0	0.0
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2]|unclassified	0.0299539	0.0	0.0	0.0
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN: (expasy) Aldehyde dehydrogenase (NAD(P)(+)) [1.2.1.5]	0.9061828	0.0	0.0	0.0
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN: (expasy) Aldehyde dehydrogenase (NAD(P)(+)) [1.2.1.5]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0524683	0.0	0.0	0.0
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN: (expasy) Aldehyde dehydrogenase (NAD(P)(+)) [1.2.1.5]|unclassified	0.8537144999999999	0.0	0.0	0.0
ALDHDEHYDROG-RXN: (expasy) Aldehyde dehydrogenase (NAD(+)) [1.2.1.3]	0.2982411	0.2962133	0.0	0.0
ALDHDEHYDROG-RXN: (expasy) Aldehyde dehydrogenase (NAD(+)) [1.2.1.3]|g__Pseudoalteromonas.s__Pseudoalteromonas_shioyasakiensis	0.0195341	0.0	0.0	0.0
ALDHDEHYDROG-RXN: (expasy) Aldehyde dehydrogenase (NAD(+)) [1.2.1.3]|unclassified	0.278707	0.2962133	0.0	0.0
ALDOSE-1-EPIMERASE-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]	0.3263286	0.0	0.0	0.24679
ALDOSE-1-EPIMERASE-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]|g__Alteromonas.s__Alteromonas_macleodii	0.0557367	0.0	0.0	0.0
ALDOSE-1-EPIMERASE-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.08089688	0.0	0.0	0.1330788
ALDOSE-1-EPIMERASE-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0758089	0.0	0.0	0.113711
ALDOSE-1-EPIMERASE-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.11388609999999999	0.0	0.0	0.0
ALDOSE1EPIM-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]	0.3263286	0.0	0.0	0.24679
ALDOSE1EPIM-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]|g__Alteromonas.s__Alteromonas_macleodii	0.0557367	0.0	0.0	0.0
ALDOSE1EPIM-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.08089688	0.0	0.0	0.1330788
ALDOSE1EPIM-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0758089	0.0	0.0	0.113711
ALDOSE1EPIM-RXN: (expasy) Aldose 1-epimerase [5.1.3.3]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.11388609999999999	0.0	0.0	0.0
ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN: (expasy) Bacterial luciferase [1.14.14.3]	0.016251	0.0	0.0	0.0
ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN: (expasy) Bacterial luciferase [1.14.14.3]|unclassified	0.016251	0.0	0.0	0.0
ALKANE-1-MONOOXYGENASE-RXN: (expasy) Alkane 1-monooxygenase [1.14.15.3]	0.0368474	0.0	0.0	0.0
ALKANE-1-MONOOXYGENASE-RXN: (expasy) Alkane 1-monooxygenase [1.14.15.3]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0368474	0.0	0.0	0.0
ALKAPHOSPHA-RXN: (expasy) Alkaline phosphatase [3.1.3.1]	0.0279137	0.0	0.0	0.0
ALKAPHOSPHA-RXN: (expasy) Alkaline phosphatase [3.1.3.1]|g__Defluviitoga.s__Defluviitoga_tunisiensis	0.0279137	0.0	0.0	0.0
ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN: (expasy) Alkylglycerone-phosphate synthase [2.5.1.26]	0.116714	0.0	0.0	0.0
