"","Pathway","OFAV_032024","OFAV_012025","MCAV_032024","MCAV_012025","DLAB_032024","DLAB_012025","PSTR_032024","PSTR_012025"
"559","PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",0,0,88.65630371,24.360906493,81.87140433,431.84093716,35.53750767,145.36875995
"562","PWY-7118: chitin deacetylation",0,0,0,0,0,98.35716647,29.42908373,34.537159615
"565","PWY-7124: ethene biosynthesis V (engineered)",0,0,0,0,20.7881159,172.98515104,0,0
"567","PWY-7159: 3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)",0,0,208.22482343,31.68411841,65.553715119,33.83985762,0,7.036016516
"569","PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I",0,9.031365642,42.23749419,28.729557461,67.12164647,440.96080624,18.88168664,113.35797758
"571","PWY-7185: UTP and CTP dephosphorylation I",0,0,26.13326118,15.9144485,32.769432556,104.1333201,5.105082229,21.02769619
"573","PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",0,0,247.149856276,61.245754676,209.73349997,455.13452318,28.34117541,80.549087138
"577","PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV",0,0,36.0476104,0,54.24854765,144.19021265,6.344711702,19.02362269
"579","PWY-7199: pyrimidine deoxyribonucleosides salvage",0,0,20.76650701,35.804782669,104.92153889,94.64547823,27.45921377,10.72491586
"581","PWY-7208: superpathway of pyrimidine nucleobases salvage",3.978192077,30.761021564,183.692757616,35.389419595,179.712110989,348.36212337,39.54881648,43.413748397
"583","PWY-7209: superpathway of pyrimidine ribonucleosides degradation",0,0,7.96140027,0,0,0,0,0
"585","PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP",0,0,36.06196951,3.409027672,50.128676553,147.71587397,8.186150903,20.76826948
"587","PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis",0,0,46.44600909,0,9.111644365,198.28477556,20.64630148,28.09214401
"589","PWY-7218: photosynthetic 3-hydroxybutanoate biosynthesis (engineered)",0,0,0,0,18.3302816,60.3589592,0,0
"591","PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",0,29.453897342,431.282881556,104.39511332,864.986539966,1263.977175727,47.460320163,167.92071134
"595","PWY-7221: guanosine ribonucleotides de novo biosynthesis",15.125350041,44.285939983,155.411608023,76.420609813,816.534891201,1064.457422938,90.79789873,172.038061684
"599","PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0,29.453897342,431.282881556,104.39511332,864.986539966,1263.977175727,47.460320163,167.92071134
"603","PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",6.338202641,33.867541025,182.479083991,76.766576835,843.669998701,1121.569503928,70.39202812,139.903718979
"607","PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0,14.023610835,342.026339707,73.789491292,778.73578312,1158.97209399,34.80627842,166.23708819
"611","PWY-7234: inosine-5'-phosphate biosynthesis III",0,0,33.3109468,0,77.66991978,178.32437806,39.342618152,62.861960508
"615","PWY-7238: sucrose biosynthesis II",0,0,180.41955958,32.720885086,36.440675277,50.098096835,36.1020602,12.10881746
"619","PWY-7242: D-fructuronate degradation",0,0,11.76332829,0,22.79875069,16.98159189,0,7.76610864
"621","PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0,0,167.50032754,20.70731669,138.697847173,297.87217448,27.451153273,75.37398966
"623","PWY-7254: TCA cycle VII (acetate-producers)",0,0,0,0,0,26.40987145,0,20.89153478
"626","PWY-7268: cytosolic NADPH production (yeast)",0,0,0,0,306.17447588,389.7679486,0,51.429214436
"628","PWY-7269: mitochondrial NADPH production (yeast)",0,0,0,0,231.15901678,345.8876739,0,40.250203418
"630","PWY-7279: aerobic respiration II (cytochrome c) (yeast)",0,0,11.62117626,0,396.491709122,325.48531769,36.48214735,46.62814021
"633","PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II",0,0,0,0,23.98405839,59.726455083,23.30215574,0
"636","PWY-7295: L-arabinose degradation IV",0,0,0,0,16.40693474,0,0,0
"638","PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis",0,0,54.11776981,0,87.16857745,59.643467186,0,15.3002307
"640","PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis",0,0,0,0,18.016614962,30.9607459,22.42266789,7.448228182
"643","PWY-7340: 9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)",0,0,0,0,0,0,15.70434236,0
"645","PWY-7345: superpathway of anaerobic sucrose degradation",0,0,24.23472123,0,45.72440698,38.32909155,0,0
"647","PWY-7356: thiamine diphosphate salvage IV (yeast)",0,0,0,0,0,0,0,7.322582263
"649","PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)",0,0,30.47775959,0,26.90152439,11.76452544,23.65833566,34.11694104
"652","PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",0,0,0,0,5.112458002,0,0,0
"654","PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",0,0,0,0,60.95917041,293.02618116,25.084573416,15.46716768
"656","PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",0,0,0,0,251.59965992,294.96898041,0,75.46438768
"658","PWY-7392: taxadiene biosynthesis (engineered)",0,0,15.12383647,0,36.4672809,57.65407219,0,40.96304946
"660","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0,0,54.16950328,0,459.9296342,561.950682231,36.479628122,111.36010224
"663","PWY-7431: aromatic biogenic amine degradation (bacteria)",0,0,0,0,0,0,14.93250711,8.666191528
"666","PWY-7456: &beta;-(1,4)-mannan degradation",0,0,0,0,0,12.71102042,0,0
"668","PWY-7560: methylerythritol phosphate pathway II",0,0,201.702888117,30.88710452,86.324962587,223.58470841,0,46.4006239
"671","PWY-7562: 3,6-anhydro-&alpha;-L-galactopyranose degradation",0,0,0,0,16.82882706,0,0,0
"673","PWY-7579: phycourobilin biosynthesis",0,0,166.08942483,25.604237422,0,9.147369604,0,0
"675","PWY-7663: gondoate biosynthesis (anaerobic)",23.52663939,65.044487685,288.4524359,66.025243269,1134.66157235,1342.026698144,120.66701198,334.582822809
"679","PWY-7664: oleate biosynthesis IV (anaerobic)",21.53723769,13.124015108,144.53083716,42.12238862,737.78935126,964.14395524,69.3549199,212.544791674
"682","PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis",0,0,0,0,10.53422686,0,0,0
"684","PWY-7731: superpathway of photosynthetic hydrogen production",0,0,43.066505203,10.99727068,19.629561408,190.204965848,0,11.33154098
"686","PWY-7761: NAD salvage pathway II (PNC IV cycle)",0,0,0,0,61.113166313,27.99171705,7.131341335,32.667870669
"688","PWY-7790: UMP biosynthesis II",7.528110914,0,296.21850254,34.81092211,530.69883942,637.09217326,50.996690476,114.157159817
"692","PWY-7791: UMP biosynthesis III",7.528110914,0,296.21850254,34.81092211,530.69883942,617.66230753,32.149085835,114.157159817
"696","PWY-7851: coenzyme A biosynthesis II (eukaryotic)",0,0,63.4071829,28.88303469,91.35782097,305.23504022,28.36221649,34.966508745
"700","PWY-7858: (5Z)-dodecenoate biosynthesis II",13.58467974,5.068130863,80.89767241,21.534965403,596.91280598,716.795624948,53.93558102,159.730912101
"702","PWY-7902: glucosylglycerol biosynthesis",0,0,110.32147774,15.58005248,0,14.80366651,0,0
"704","PWY-7942: 5-oxo-L-proline metabolism",0,0,0,0,20.250404816,8.346191511,26.3763711,22.76116141
"707","PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",0,0,152.3914861,26.869773234,71.31267702,304.56437545,20.38203022,44.02763234
"710","PWY-7977: L-methionine biosynthesis IV",7.595775089,0,156.687015465,28.412524488,453.154932356,541.441576545,61.53800124,112.8649358
"714","PWY-8004: Entner-Doudoroff pathway I",0,0,55.96510247,0,215.06300518,266.92122263,0,21.27064078
"716","PWY-8011: L-serine biosynthesis II",0,6.593427826,5.012804322,6.603131147,21.816677079,12.51515399,0,9.52512719
"718","PWY-801: homocysteine and cysteine interconversion",10.72499956,0,37.32000074,10.75206441,27.255465545,76.48359296,5.152071913,0
"720","PWY-8073: lipid IVA biosynthesis (P. putida)",0,0,17.54636635,0,0,55.248537681,0,22.106610942
"723","PWY-8131: 5'-deoxyadenosine degradation II",0,0,0,0,0,16.234793966,7.863515064,0
"725","PWY-8178: pentose phosphate pathway (non-oxidative branch) II",0,11.843592789,118.785357207,35.36038031,268.79909396,667.94579705,43.60164434,128.35757433
"727","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0,0,40.807346933,0,50.563967729,160.3521335,0,40.495823864
"730","PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",0,0,30.21428754,0,29.89519612,152.44225085,0,82.86488708
"732","PWY-841: superpathway of purine nucleotides de novo biosynthesis I",0,6.888394981,113.017919326,42.21027406,403.6991494,528.445679891,43.63139599,62.436425305
"735","PWY-I9: L-cysteine biosynthesis VI (from L-methionine)",8.792795581,3.695590956,0,0,5.531009402,69.853187275,4.793851497,20.28951076
"737","PWY0-1061: superpathway of L-alanine biosynthesis",0,0,19.06522352,0,119.163962698,220.63881255,19.93060777,41.922747285
"739","PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis",0,0,0,0,8.351317863,13.111952633,17.20527847,32.709829913
"741","PWY0-1296: purine ribonucleosides degradation",0,0,66.10293737,27.731651308,67.733200965,58.905890298,38.247439829,57.72799726
"744","PWY0-1297: superpathway of purine deoxyribonucleosides degradation",0,0,24.22715286,0,35.471106022,37.079911856,33.711527122,41.89134102
"746","PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",0,0,14.964755291,0,27.09486957,21.70725834,0,15.27804105
"748","PWY0-1319: CDP-diacylglycerol biosynthesis II",0,0,157.12471859,18.004687109,51.228204759,97.76145297,0,32.7711674
"751","PWY0-1337: oleate &beta;-oxidation",0,0,26.43796004,0,36.663260945,0,0,23.11019137
"753","PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III",0,0,0,0,0,7.80277276,0,0
"755","PWY0-1477: ethanolamine utilization",13.22567711,0,38.62512323,0,46.9774816,65.070834321,28.605474,64.157662136
"758","PWY0-1479: tRNA processing",0,0,0,8.404461342,82.8354812,292.359534417,19.46426089,24.3054524
"761","PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0,6.15572159,28.35849361,16.11263486,180.6148902,351.11392596,5.871078464,72.42723591
"764","PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",0,0,221.03898143,21.84493396,337.58143097,510.92268822,33.698336224,35.52896226
"767","PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)",0,0,37.50133354,24.80783864,14.48242129,439.59740265,20.60179732,129.237163048
"769","PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)",0,0,0,0,0,5.755865768,0,0
"771","PWY0-42: 2-methylcitrate cycle I",0,0,19.809032808,0,28.170436387,45.37708296,0,34.506328527
"773","PWY0-781: aspartate superpathway",0,0,0,0,0,37.45095973,0,56.822295203
"775","PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage",0,0,0,0,18.47723481,49.380520492,25.5091751,0
"777","PWY0-862: (5Z)-dodecenoate biosynthesis I",19.67787412,32.64557512,138.413863,49.129670963,1006.43474647,1261.153138731,118.72152371,288.820477754
"781","PWY1ZNC-1: assimilatory sulfate reduction IV",0,7.141349077,256.75359944,20.83987069,137.55630356,160.83984237,38.21606778,73.378168263
"784","PWY3DJ-35471: L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)",0,0,0,0,0,11.91045861,0,0
"785","PWY3O-4107: NAD salvage pathway V (PNC V cycle)",0,0,16.2134749,0,68.2388898,94.43156778,14.40407317,35.84238586
"788","PWY490-3: nitrate reduction VI (assimilatory)",0,0,0,0,0,20.551139145,0,0
"790","PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)",0,0,10.91212449,8.690979441,52.94382748,91.56518761,0,18.893443203
"792","PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)",0,0,10.91212449,8.690979441,52.94382748,91.30835398,0,18.893443203
"794","PWY5F9-12: biphenyl degradation",0,0,0,0,0,5.846783597,0,0
"796","PWY66-367: ketogenesis",0,0,12.35295934,0,52.74393564,41.054174474,38.67364354,55.81745309
"799","PWY66-389: phytol degradation",0,0,112.496230875,37.112785213,341.80918996,442.10031184,66.299242515,167.074824724
"803","PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)",0,0,0,0,0,0,20.68392397,0
"805","PWY66-398: TCA cycle III (animals)",0,0,0,0,0,0,11.3820222,29.3596917
"807","PWY66-399: gluconeogenesis III",0,0,7.963511593,0,78.81731975,296.44802859,0,0
"809","PWY66-409: superpathway of purine nucleotide salvage",0,0,59.82385775,15.81431481,66.96058138,97.96691452,18.34604469,37.96499769
"811","PWY66-429: fatty acid biosynthesis initiation (mitochondria)",16.91318722,27.698057514,102.87686339,13.959077674,303.600250743,550.17037548,36.1653532,127.006327165
"815","PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)",0,0,0,0,19.583299628,29.27799591,7.157046217,23.5096065
"817","PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)",0,6.79055628,159.092856388,17.62655851,249.05464048,319.69823477,23.610893375,82.49957408
"821","PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I",0,0,0,0,40.36388747,103.69508055,31.713586863,56.879788643
"823","REDCITCYC: TCA cycle VI (Helicobacter)",0,0,0,0,0,88.20497907,0,14.36492618
"825","RHAMCAT-PWY: L-rhamnose degradation I",0,0,0,0,0,6.325674721,0,0
"827","RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)",0,0,19.72334836,0,118.42628737,264.21582854,0,14.29518123
"829","RUMP-PWY: formaldehyde oxidation I",0,0,0,0,0,0,0,10.78281075
"831","SALVADEHYPOX-PWY: adenosine nucleotides degradation II",0,0,94.387507387,34.461241825,47.11986958,55.01269106,29.984258265,28.53083315
"833","SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I",13.177953269,8.126077738,168.25136251,88.431346143,248.677379531,337.29434007,58.114910054,112.966983211
"837","SO4ASSIM-PWY: assimilatory sulfate reduction I",0,7.141349077,256.75359944,20.83987069,178.86318447,197.62336928,38.21606778,99.300526733
"840","SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis",0,0,26.83091931,0,133.73180384,139.79097632,15.22490429,71.37528598
"842","TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA",0,6.711236709,0,0,103.57238619,31.8897647,0,55.89348098
"844","TCA: TCA cycle I (prokaryotic)",0,7.305680279,11.73940107,0,90.53435543,29.82148391,0,49.84255249
"846","THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I",0,0,32.56524352,0,0,21.16704896,15.45590298,26.64261328
"848","THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)",0,0,0,0,0,0,9.164147575,0
"849","THRESYN-PWY: superpathway of L-threonine biosynthesis",6.764220534,11.850448633,189.29322492,41.193723675,360.96052432,550.844725543,39.761384698,126.654902963
"854","TRNA-CHARGING-PWY: tRNA charging",0,0,96.93067668,23.65257995,213.4409511,413.33660354,23.85699587,67.20502882
"856","TRPSYN-PWY: L-tryptophan biosynthesis",0,0,219.96605322,29.61651987,354.84992187,679.16950372,0,103.09515321
"858","UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",3.657270314,6.952906957,140.635851797,47.808116454,115.29569604,285.31501319,15.152001255,128.76138086
"862","URSIN-PWY: ureide biosynthesis",0,0,0,0,25.5366786,0,0,0
"864","VALSYN-PWY: L-valine biosynthesis",23.99349183,65.864058972,437.798452668,182.824803232,1972.291047449,1951.19802448,132.169111986,351.236246775
